,apartmentType,Borough,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
13,Queens,Three plus bedrooms,2797.77,2961.56,2816.35,2825.0,2831.45,2926.25,3010.0,2744.14,2740.36,2651.07,2563.63,2543.65,2540.13,2676.43,2567.03,2572.19,2725.11,2621.1,2738.0,2940.5,3002.14,2828.09,2891.93,2881.0,2947.04,2941.8,2900.74,2891.11,2839.05,2887.63,2889.97,2948.53,2912.56,2853.11,2763.93,2913.33,2806.71,2769.93,2738.71,2808.07,2785.29,2768.42,2832.83,2980.78,2928.31,2865.21,2795.83,2918.7,2870.53,2795.93,2830.82,2934.5,2875.12,2848.48,2927.69,2877.9,2852.79,2789.67,2707.43,2746.59,2771.98,2804.68,2820.11,2837.32,2852.57,2894.57,2903.6,2886.77,2849.85,2870.0,2837.7,2868.12,2923.32,2918.6,2958.0,2981.03,2840.74,2887.5,2868.29,2861.52,2817.5,2776.71,2714.17,2761.14,2749.32,2833.76,2740.8,2744.02,2974.28,2852.38,2939.24,2944.6,3057.5,2987.1,3077.11,3126.58,3108.41,3179.75,3114.0,3136.92,3186.15,3437.48,3366.25,3380.52,3297.96,3352.02,3334.2,3342.0,3361.29,3295.35,3276.06,3332.04,3443.09,3626.39,3490.88,3459.56,3551.07,3551.27,3515.27,3617.82,3618.16,3703.4,3647.05,3712.0,3839.66,3821.45,3809.14,3806.71,3745.55,3650.71,3588.58,3646.29,3647.62,3742.74,3766.25,3817.61,3909.75,3932.39,3973.88,4059.66,3923.84,3693.52,3777.25,3992.28
14,Brooklyn,Three plus bedrooms,3426.54,3552.02,3487.04,3652.02,3665.34,3752.76,3617.77,3683.36,3381.05,3417.77,3432.69,3316.77,3206.1,3310.39,3375.72,3376.74,3474.89,3462.04,3388.96,3380.0,3415.73,3302.6,3421.53,3423.4,3363.28,3352.18,3338.79,3394.59,3515.42,3370.69,3607.52,3629.9,3619.93,3601.65,3488.95,3565.72,3546.18,3549.52,3512.81,3561.23,3617.0,3589.92,3530.88,3692.08,3731.35,3590.7,3568.08,3524.06,3468.64,3356.48,3496.65,3464.46,3578.48,3495.24,3581.82,3531.14,3607.47,3507.52,3498.6,3439.22,3561.51,3420.49,3516.12,3688.98,3818.58,3832.26,3785.74,3802.58,3770.21,3760.14,3670.18,3834.28,3906.51,3645.89,3622.79,3799.14,3825.07,3741.71,3550.54,3512.59,3427.57,3378.79,3354.18,3346.75,3334.22,3292.79,3310.15,3197.8,3437.46,3565.34,3519.04,3525.65,3537.36,3629.79,3670.42,3844.52,3852.01,3885.34,3821.46,3916.43,4561.9,4709.61,4783.25,4723.46,4690.12,4521.22,4373.23,4448.93,4589.46,4640.79,4555.5,4760.82,5010.42,4991.99,4874.93,4725.54,4890.67,4844.19,5014.72,4976.12,5076.2,4914.69,5234.58,5195.04,5373.96,5132.21,5200.54,4923.01,4879.16,4916.89,4928.01,4741.23,4871.58,4847.97,4814.62,5477.44,5406.88,5543.17,5441.64,5708.18,5366.57,5648.53,5420.14,5180.41
15,Bronx,Three plus bedrooms,2647.5,3023.75,3450.0,3412.5,3531.25,3468.75,3367.5,2973.0,2700.0,2800.0,2600.0,2650.0,2648.5,2344.5,2500.0,2516.67,2381.25,2384.6,2399.7,2457.1,2389.0,2264.29,2321.58,2749.5,2608.33,2550.0,2550.0,2582.5,2912.5,2633.33,2571.88,2625.0,2826.1,2585.0,2608.9,2645.8,2631.25,2657.2,2537.64,2582.58,2718.3,3038.33,2615.0,2577.0,2565.67,2625.17,2572.0,2650.0,2499.17,2623.17,2583.0,2549.5,2663.57,2692.5,2466.17,2552.57,2491.86,2307.09,2367.19,2443.58,2387.86,2444.94,2485.31,2447.64,2457.85,2589.17,2638.17,2558.75,2486.75,2591.5,2610.6,2726.0,2919.25,2850.0,2850.67,2912.25,2883.33,2809.38,2726.5,2722.5,2751.88,2866.67,2801.17,2795.0,2831.67,2837.5,2800.0,2687.5,2680.0,2788.75,2757.17,2804.5,2943.62,2848.25,2795.71,2622.83,2913.5,2874.67,2968.5,2929.3,3000.0,3082.6,3436.5,3366.5,3386.88,3295.5,3318.88,3075.0,3203.67,3189.4,3264.75,3247.5,3290.0,3398.6,3483.0,3291.67,3625.0,3898.12,3475.75,3416.8,3425.0,3518.88,3617.0,3633.33,3620.83,3677.2,3945.8,3726.25,3796.88,3692.88,3750.0,3716.88,3640.25,3758.5,3780.4,3768.4,3778.0,3862.0,3925.0,4023.12,4178.12,3813.3,3864.0,3950.0
16,New York City,Three plus bedrooms,4000.0,4000.0,3949.5,4000.0,4100.0,4100.0,4000.0,3995.0,3900.0,3897.0,3600.0,3500.0,3500.0,3500.0,3499.0,3500.0,3600.0,3664.0,3787.5,3800.0,3800.0,3700.0,3695.0,3700.0,3700.0,3700.0,3700.0,3750.0,3700.0,3795.0,3750.0,3700.0,3667.0,3650.0,3500.0,3495.0,3400.0,3331.0,3300.0,3449.0,3500.0,3500.0,3500.0,3650.0,3650.0,3600.0,3425.0,3450.0,3395.0,3311.5,3300.0,3431.0,3500.0,3500.0,3500.0,3400.0,3400.0,3250.0,3175.0,3100.0,3195.0,3126.0,3195.0,3475.0,3595.0,3650.0,3690.0,3600.0,3695.0,3700.0,3650.0,3600.0,3595.0,3600.0,3625.0,3931.0,3800.0,3695.0,3600.0,3438.0,3300.0,3200.0,3166.5,3100.0,3000.0,3000.0,3000.0,3000.0,3000.0,3200.0,3300.0,3395.0,3350.0,3300.0,3300.0,3394.5,3490.0,3550.0,3599.0,3799.0,4000.0,4375.0,4500.0,4500.0,4450.0,4300.0,4195.0,4199.0,4199.0,4250.0,4250.0,4750.0,4900.0,4990.0,4996.5,4995.0,4999.0,4795.0,4500.0,4495.0,4300.0,4250.0,4495.0,4800.0,5000.0,5000.0,5000.0,4999.0,4900.0,4795.0,4500.0,4500.0,4500.0,4500.0,4500.0,4950.0,5200.0,5300.0,5300.0,5400.0,5100.0,5000.0,4850.0,4795.0
17,Staten Island,Three plus bedrooms,1925.0,1800.0,1775.0,1775.0,1925.0,1985.0,2200.0,2200.0,2000.0,2000.0,2050.0,2000.0,1900.0,1940.5,1925.0,1900.0,1900.0,1950.0,1950.0,1975.0,2100.0,2000.0,2025.0,2050.0,2075.0,2075.0,2250.0,2250.0,2225.0,2275.0,2250.0,2225.0,2225.0,2100.0,2250.0,2275.0,2110.0,2100.0,2200.0,2155.0,2300.0,2497.5,2550.0,,,,2475.0,2450.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2400.0,2375.0,2300.0,2300.0,2175.0,2175.0,2200.0,2200.0,2325.0,2375.0,2400.0,2350.0,2500.0,,,2600.0,2500.0,,2550.0,2600.0,2500.0,,,,,2497.0,,2750.0,,2700.0,2700.0,2550.0,2325.0,2500.0,2500.0,2599.0,2725.0,2700.0,2500.0,2550.0,2500.0,2549.5,2400.0,2500.0,2600.0,2550.0,2700.0,2650.0,2875.0,2675.0,2500.0,2600.0,2500.0,2697.5,2850.0,2900.0,3000.0,3000.0,3150.0,3175.0,3275.0,3000.0,3275.0,3000.0,3400.0,3532.0,3200.0,3372.5,3350.0,3200.0,3150.0,3347.5,3200.0,2847.5,3400.0,3000.0,2990.0,,3500.0,3450.0,3100.0,3000.0,3000.0,3250.0,3250.0,3300.0
18,Manhattan,Studio,2342.0,2347.79,2345.82,2395.8,2416.57,2385.93,2330.8,2341.18,2401.68,2392.45,2394.87,2434.76,2404.6,2442.55,2408.78,2467.05,2496.38,2505.88,2494.69,2544.52,2535.48,2533.72,2477.95,2498.67,2513.19,2515.67,2500.85,2504.06,2549.57,2518.16,2501.21,2500.55,2530.61,2516.68,2505.39,2495.0,2438.47,2495.02,2442.8,2469.24,2484.4,2466.09,2464.15,2478.88,2478.97,2493.58,2401.58,2428.83,2440.57,2430.89,2489.22,2458.8,2477.45,2497.83,2459.85,2498.88,2490.02,2462.83,2479.08,2456.35,2474.46,2481.8,2526.84,2528.14,2569.01,2589.38,2621.05,2554.43,2588.61,2571.27,2629.48,2626.88,2611.32,2630.4,2653.97,2560.95,2472.18,2392.79,2302.94,2203.21,2184.21,2150.76,2112.15,2126.0,2125.29,2165.66,2208.24,2253.26,2311.18,2401.45,2452.37,2517.24,2556.58,2600.17,2700.85,2766.75,2831.45,2953.47,2963.09,3039.32,3031.98,2997.67,3014.92,2991.8,2980.83,2980.63,2941.13,2958.07,3054.69,3084.17,3109.31,3125.73,3149.77,3175.52,3128.65,3175.82,3104.27,3079.0,3126.75,3022.36,3112.54,3132.33,3207.92,3305.55,3258.39,3248.02,3247.48,3213.59,3193.72,3170.81,3204.43,3227.88,3266.85,3303.1,3327.82,3438.56,3470.03,3480.89,3498.5,3497.78,3457.82,3465.22,3449.38,3435.98
19,Queens,Studio,1656.57,1687.0,1637.5,1746.0,1713.88,1788.06,1726.75,1706.25,1691.72,1605.45,1535.58,1547.92,1543.96,1542.73,1596.73,1599.64,1653.92,1655.96,1644.04,1663.27,1622.86,1614.5,1606.07,1593.81,1592.75,1597.18,1599.67,1610.0,1660.17,1669.21,1680.46,1702.73,1688.5,1677.57,1635.0,1640.72,1574.25,1596.53,1614.53,1587.5,1594.41,1612.68,1637.66,1662.8,1634.4,1630.37,1677.06,1662.97,1641.96,1630.94,1632.78,1647.27,1663.23,1678.12,1716.79,1728.97,1702.0,1672.19,1681.81,1685.27,1656.22,1664.53,1675.44,1709.45,1696.39,1727.94,1751.97,1749.75,1755.61,1752.59,1720.71,1756.03,1683.78,1721.67,1753.81,1775.54,1660.16,1709.41,1677.11,1653.8,1654.58,1628.42,1603.71,1604.66,1572.39,1606.13,1584.95,1622.57,1666.29,1686.89,1701.66,1734.08,1732.92,1746.14,1727.05,1782.03,1774.05,1774.22,1716.59,1835.97,1842.08,1913.28,1929.62,1923.06,1900.11,1928.91,1924.03,1903.35,1910.05,1927.06,1908.33,1925.25,1965.19,2046.29,2012.52,2038.11,2216.22,2036.82,2022.21,2006.45,2010.84,1987.78,2040.53,2209.69,2248.08,2228.21,2238.68,2285.76,2278.56,2219.88,2159.88,2192.88,2244.24,2207.72,2267.38,2257.94,2201.59,2181.83,2352.84,2293.47,2263.45,2205.02,2257.55,2200.25
20,Brooklyn,Studio,1896.06,1861.71,1776.44,1789.46,1902.54,1881.54,1948.69,1940.28,1871.74,1816.88,1831.54,1789.52,1812.67,1789.48,1858.02,1856.54,1823.44,1844.6,1885.47,1851.7,1847.22,1836.05,1842.64,1871.6,1919.1,1891.24,1910.16,1820.36,1883.53,1944.48,1927.03,1968.37,1918.56,2029.83,1942.93,1913.43,1878.8,1911.61,1956.81,1940.13,1917.5,1959.74,1989.21,2062.4,2070.77,2042.2,1928.67,1914.09,1914.27,1980.66,2013.69,2041.8,2063.71,2044.12,2045.74,2075.87,2006.12,2010.67,2008.66,2074.74,2008.19,2025.45,2048.69,2099.06,2139.74,2138.33,2129.12,2123.35,2068.81,2097.6,2079.27,2118.8,2131.09,2196.92,2178.58,2211.21,2130.36,2060.5,2024.71,2009.71,1931.15,1876.47,1882.49,1885.38,1870.09,1905.78,1905.5,1927.62,1986.01,2055.76,2106.76,2103.43,2164.02,2082.31,2121.47,2095.23,2142.79,2224.12,2228.47,2326.05,2356.36,2499.76,2446.12,2593.32,2562.52,2514.81,2443.85,2423.46,2552.19,2570.76,2617.24,2730.2,2683.53,2645.68,2684.84,2763.82,2712.5,2662.9,2614.71,2690.02,2651.5,2661.5,2668.86,2753.34,2758.92,2786.3,2830.44,2892.06,2859.33,2782.9,2844.98,2756.83,2736.05,2793.94,2726.88,2843.17,2876.33,2933.8,3052.77,2991.58,2955.67,2959.55,2876.61,2894.98
21,Bronx,Studio,1150.0,1193.75,1212.5,1256.25,1256.0,1295.83,1348.33,1362.5,1347.5,1347.5,1253.17,1233.33,1251.25,1333.33,1310.83,1227.75,1116.17,1107.0,1299.75,1250.0,1324.75,1240.0,1300.0,1266.67,1282.0,1314.5,1339.67,1356.67,1340.0,1323.33,1375.0,1350.0,1325.0,1362.33,1332.5,1300.0,1315.83,1362.0,1374.5,1387.0,1387.5,1425.0,1437.5,1412.33,1468.5,1516.67,1415.0,1400.0,1416.5,1475.0,1497.5,1500.0,1431.25,1529.0,1425.0,1420.83,1448.17,1506.25,1505.0,1485.0,1518.33,1478.33,1464.6,1520.62,1693.62,1599.4,1731.62,1689.25,1549.67,1666.67,1601.12,1610.0,1525.0,1660.0,1781.5,1820.0,1681.67,1693.83,1698.62,1707.0,1729.83,1683.0,1574.25,1598.38,1649.12,1666.0,1579.88,1647.88,1567.75,1602.5,1851.67,1847.5,1693.1,1631.0,1649.88,1593.0,1576.0,1645.5,1727.5,1791.25,1819.62,1844.6,2138.33,2039.17,1990.67,1844.6,1890.25,2035.5,1988.25,1960.5,2017.5,2017.38,2120.17,2003.5,1929.0,2097.25,2078.12,2092.62,2173.33,2399.5,2388.67,2410.83,2292.5,2387.12,2251.25,2333.25,2392.88,2240.25,2202.9,2531.67,2428.33,2550.0,2445.0,2331.0,2437.33,2430.0,2460.0,2437.5,2379.17,2823.5,2528.33,2467.33,2490.33,2574.5
22,New York City,Studio,2300.0,2300.0,2300.0,2350.0,2350.0,2350.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2350.0,2395.0,2400.0,2400.0,2395.0,2400.0,2400.0,2400.0,2373.0,2400.0,2395.0,2395.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2395.0,2350.0,2313.5,2332.0,2300.0,2300.0,2345.0,2330.0,2350.0,2325.0,2300.0,2395.0,2375.0,2307.0,2275.0,2295.0,2271.0,2250.0,2293.0,2300.0,2300.0,2348.0,2342.5,2350.0,2300.0,2295.0,2298.0,2300.0,2325.0,2350.0,2350.0,2399.0,2400.0,2400.0,2400.0,2400.0,2375.0,2395.0,2400.0,2424.0,2425.0,2450.0,2450.0,2450.0,2359.5,2300.0,2200.0,2149.0,2050.0,2000.0,1995.0,1995.0,1995.0,2000.0,2000.0,2000.0,2100.0,2150.0,2195.0,2200.0,2200.0,2200.0,2250.0,2295.0,2400.0,2500.0,2595.0,2650.0,2750.0,2799.5,2821.5,2870.0,2850.0,2800.0,2800.0,2850.0,2895.0,2950.0,2955.0,3000.0,2999.0,3000.0,2999.0,3000.0,3000.0,2960.0,2960.0,2999.0,2997.0,3000.0,3040.5,3100.0,3100.0,3100.0,3100.0,3100.0,3050.0,3050.0,3050.0,3071.5,3100.0,3125.0,3200.0,3300.0,3250.0,3300.0,3400.0,3390.0,3300.0,3270.0,3250.0,3230.0
23,Staten Island,Studio,,,,,,,,,,,,,,,,,1150.0,,,,,,,,,,,1175.0,1617.5,,,1775.0,1527.5,1520.0,1350.0,1445.0,1500.0,1585.0,1350.0,1400.0,1625.0,,,,,,1727.0,1671.0,1595.0,1663.0,1607.5,1607.5,1610.0,1712.0,1735.0,1695.0,1690.0,1570.0,1779.0,1709.0,1529.0,1658.5,1755.0,1772.5,1862.5,1825.0,1790.0,1827.0,1775.0,1661.0,,,1798.0,,,,,1604.0,,1532.5,,,,,,,,,,1699.5,1822.0,,,,,,,,1400.0,1225.0,1400.0,,,1607.0,1498.5,1424.0,,1400.0,1500.0,1500.0,1496.5,1650.0,,1498.5,1512.5,1525.0,1537.5,1550.0,,,,,,,,1907.0,1907.0,1782.0,,,1794.5,,2245.0,2795.0,2795.0,2795.0,2550.0,,,,,,,
24,Manhattan,One bedroom,3075.0,3079.94,3054.43,3093.01,3127.09,3103.56,3054.76,3073.89,3078.33,3064.93,3081.97,3134.7,3097.67,3119.04,3142.79,3171.35,3187.19,3225.23,3203.94,3250.25,3235.29,3218.06,3158.56,3175.17,3160.46,3202.9,3249.54,3258.21,3237.92,3235.62,3244.26,3198.15,3206.81,3220.34,3177.07,3139.53,3137.38,3151.04,3155.85,3169.68,3174.72,3160.68,3172.24,3184.77,3135.67,3107.82,3082.56,3102.22,3103.44,3118.18,3121.96,3126.64,3130.35,3160.84,3193.78,3189.93,3208.26,3212.89,3204.12,3225.35,3238.78,3248.61,3278.11,3324.15,3317.53,3336.94,3358.56,3344.4,3367.65,3372.03,3368.72,3402.32,3376.12,3439.36,3395.03,3295.24,3164.75,3074.46,2984.17,2909.78,2873.76,2843.28,2789.21,2791.56,2787.2,2879.56,2883.33,2957.39,3041.24,3150.12,3243.82,3306.94,3412.6,3555.28,3639.31,3725.89,3767.54,3834.17,3894.37,3928.89,3943.39,3941.26,4008.88,3931.56,3925.9,3893.04,3882.83,3853.13,3905.6,3985.69,3971.4,4023.14,4093.39,4086.78,4035.6,4032.25,3979.39,3884.81,3857.92,3933.47,4047.58,4079.35,4135.0,4141.03,4175.64,4112.0,4096.56,4065.17,4046.56,4056.86,4071.79,4143.15,4204.17,4256.83,4283.44,4364.83,4454.01,4470.85,4516.99,4442.81,4386.88,4430.32,4443.38,4473.64
25,Queens,One bedroom,1689.88,1743.47,1750.0,1743.47,1745.59,1767.86,1753.19,1792.09,1768.38,1777.64,1739.47,1721.74,1780.5,1769.62,1737.02,1731.85,1761.55,1748.5,1765.41,1789.02,1795.45,1743.41,1730.56,1783.81,1780.72,1831.98,1802.39,1859.18,1869.08,1856.38,1865.59,1863.52,1869.67,1844.89,1850.11,1838.87,1818.9,1819.2,1829.91,1858.81,1851.43,1832.35,1830.21,1897.02,1869.71,1823.43,1814.25,1827.26,1826.89,1818.48,1855.95,1840.5,1823.88,1871.29,1883.55,1892.68,1883.31,1850.89,1844.46,1845.33,1881.82,1891.67,1887.07,1893.5,1896.5,1898.34,1918.83,1905.35,1922.46,1915.58,1926.26,1916.75,1879.11,1941.24,1975.28,1952.32,1927.22,1899.96,1869.96,1860.48,1860.74,1852.48,1855.77,1850.04,1834.31,1835.17,1804.52,1830.12,1861.52,1876.72,1887.78,1904.7,1958.37,1956.08,1969.64,1996.67,1985.81,1990.04,2004.81,2036.78,2104.4,2140.85,2182.0,2219.93,2208.39,2216.02,2199.57,2197.31,2158.91,2199.23,2190.41,2255.65,2298.79,2338.23,2362.25,2360.1,2428.2,2376.58,2382.15,2415.0,2414.76,2356.33,2406.74,2471.77,2481.71,2541.19,2513.18,2481.12,2472.64,2480.9,2447.42,2451.2,2431.32,2476.04,2502.11,2487.07,2542.06,2633.06,2641.88,2623.56,2599.39,2612.71,2617.73,2648.74
26,Brooklyn,One bedroom,1998.74,2032.57,2050.59,2089.89,2153.32,2171.1,2102.9,2127.21,2088.31,2062.43,2069.05,2039.1,2019.21,2071.44,2068.13,2086.86,2080.32,2093.98,2107.68,2119.76,2134.74,2106.85,2115.0,2126.81,2127.65,2124.99,2124.56,2136.12,2145.82,2175.64,2175.04,2189.31,2209.15,2158.3,2139.26,2145.75,2146.46,2132.2,2112.62,2131.44,2150.03,2142.1,2133.04,2164.66,2185.25,2169.38,2156.44,2151.99,2153.3,2146.65,2156.9,2159.92,2187.79,2203.44,2242.89,2215.61,2198.2,2193.26,2182.66,2233.77,2206.5,2242.8,2230.72,2241.93,2279.33,2313.51,2300.69,2318.82,2334.31,2326.86,2343.78,2337.83,2394.11,2407.42,2462.39,2426.71,2373.48,2306.99,2247.1,2207.38,2140.56,2118.49,2107.27,2097.64,2087.64,2076.81,2099.67,2138.77,2179.48,2207.37,2261.91,2316.31,2380.94,2361.0,2395.02,2412.88,2486.72,2530.94,2552.45,2641.49,2718.22,2794.56,2839.3,2860.53,2799.7,2785.1,2756.6,2800.12,2858.39,2906.29,2928.02,2962.5,3008.15,2950.76,2965.48,2963.61,3015.17,2948.51,2955.25,2918.44,2943.43,2996.93,3023.98,3098.1,3131.83,3071.08,3120.69,3118.27,3133.45,3077.01,3059.89,3152.19,3115.98,3139.01,3098.67,3225.65,3240.06,3367.32,3338.79,3391.18,3357.93,3315.09,3245.23,3316.77
27,Bronx,One bedroom,1343.75,1309.2,1400.5,1349.25,1387.3,1586.25,1366.61,1335.28,1361.67,1351.95,1361.0,1348.88,1380.54,1395.91,1403.04,1424.63,1372.75,1374.08,1336.77,1354.0,1373.33,1357.71,1392.78,1398.96,1435.0,1437.5,1411.62,1431.79,1440.21,1493.82,1492.4,1503.83,1473.96,1467.54,1465.83,1456.33,1492.43,1468.93,1482.04,1520.5,1539.0,1535.67,1534.93,1574.86,1577.05,1562.86,1567.83,1578.0,1596.12,1594.44,1569.25,1581.19,1584.15,1585.55,1615.83,1625.79,1665.83,1607.32,1622.31,1593.08,1604.12,1617.55,1654.75,1680.27,1657.85,1672.62,1649.91,1670.81,1699.54,1685.54,1699.41,1712.7,1753.45,1740.08,1820.58,1777.5,1736.94,1725.5,1753.85,1747.08,1747.59,1736.77,1732.88,1683.31,1697.45,1690.45,1723.25,1781.28,1831.57,1754.18,1743.07,1749.15,1742.54,1728.65,1758.8,1776.0,1738.12,1750.42,1795.54,1859.55,1843.95,1820.38,1845.92,1875.3,1925.0,1839.04,1836.38,1801.54,1853.71,1931.0,1920.27,1955.09,1961.67,2105.65,2058.15,2058.41,2183.5,2075.0,2109.32,2060.33,2082.36,2067.9,2058.45,2098.92,2249.18,2190.64,2238.39,2193.06,2186.0,2229.56,2233.83,2300.21,2297.57,2230.0,2206.75,2377.05,2340.5,2409.69,2376.83,2409.0,2521.44,2460.56,2383.4,2379.93
28,New York City,One bedroom,2850.0,2850.0,2850.0,2900.0,2900.0,2850.0,2750.0,2750.0,2700.0,2687.5,2650.0,2700.0,2750.0,2750.0,2750.0,2775.0,2750.0,2795.0,2795.0,2800.0,2795.0,2750.0,2700.0,2750.0,2800.0,2800.0,2800.0,2825.0,2850.0,2842.0,2800.0,2790.0,2750.0,2745.0,2695.0,2700.0,2650.0,2600.0,2600.0,2601.5,2600.0,2600.0,2592.5,2700.0,2695.0,2645.0,2580.0,2595.0,2570.0,2550.0,2595.0,2600.0,2599.0,2600.0,2600.0,2600.0,2550.0,2500.0,2495.0,2495.0,2500.0,2550.0,2595.0,2650.0,2650.0,2695.0,2695.0,2700.0,2725.0,2723.0,2700.0,2708.0,2800.0,2850.0,2850.0,2900.0,2788.0,2700.0,2650.0,2500.0,2499.0,2400.0,2400.0,2395.0,2350.0,2395.0,2350.0,2395.0,2400.0,2412.0,2460.5,2495.0,2500.0,2450.0,2465.0,2500.0,2650.0,2749.0,2800.0,3000.0,3100.0,3200.0,3250.0,3250.0,3265.0,3250.0,3200.0,3219.0,3300.0,3350.0,3400.0,3503.0,3500.0,3500.0,3495.0,3495.0,3425.0,3359.0,3295.0,3350.0,3350.0,3400.0,3450.0,3500.0,3500.0,3495.0,3500.0,3500.0,3425.0,3369.0,3350.0,3350.0,3450.0,3500.0,3500.0,3650.0,3659.0,3795.0,3850.0,3800.0,3700.0,3700.0,3695.0,3700.0
29,Staten Island,One bedroom,1150.0,1160.0,,,1250.0,1150.0,1175.0,,1200.0,1200.0,1200.0,,1200.0,1200.0,1250.0,1295.0,1250.0,1370.0,1500.0,1934.5,1684.5,1395.0,1405.0,1395.0,,1500.0,1695.0,2140.0,2300.0,2140.0,2140.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1600.0,1500.0,1500.0,1500.0,1500.0,1500.0,1745.0,1395.0,1550.0,1600.0,1600.0,1600.0,1600.0,1600.0,1512.5,1500.0,1695.0,1928.5,1550.0,1790.0,1450.0,1600.0,1550.0,1450.0,1595.0,1600.0,1600.0,1600.0,2275.0,1847.5,1699.0,1797.5,2120.0,2154.0,1990.0,1795.0,1735.0,1699.0,,1575.0,,1450.0,1637.0,,1600.0,1500.0,,1700.0,1650.0,1700.0,1697.5,1600.0,1600.0,1600.0,1600.0,1624.0,1500.0,1450.0,1500.0,1450.0,1400.0,1525.0,1525.0,1500.0,1600.0,1590.0,1600.0,1600.0,1500.0,1650.0,1725.0,1650.0,1695.0,1750.0,1700.0,1600.0,1645.0,1795.0,1800.0,1875.0,1753.0,1650.0,1600.0,1600.0,1650.0,,,2295.0,,1740.0,2000.0,1900.0,2350.0,2700.0,1862.5,1800.0,2500.0,3135.0,3125.0,2850.0,3125.0,2799.0,3125.0,2800.0,3010.0,3310.0,2800.0
30,Manhattan,Two bedrooms,4464.68,4422.11,4526.88,4500.17,4512.36,4501.51,4342.46,4348.72,4399.0,4447.85,4478.97,4419.92,4494.28,4567.94,4622.47,4586.76,4614.78,4539.53,4451.21,4610.92,4678.14,4625.67,4599.19,4645.21,4675.75,4646.92,4622.97,4682.26,4584.43,4577.69,4530.25,4535.32,4511.25,4497.54,4456.85,4543.14,4521.62,4593.83,4489.69,4473.42,4458.22,4409.21,4395.99,4295.28,4442.7,4376.29,4350.61,4456.3,4394.75,4464.06,4473.53,4467.64,4466.12,4316.54,4341.18,4372.83,4423.18,4447.14,4508.92,4537.29,4625.81,4604.44,4430.38,4431.44,4490.93,4488.9,4530.14,4594.67,4689.15,4765.59,4834.61,4911.37,4948.8,4916.4,4829.1,4715.6,4414.81,4239.72,4112.71,3989.46,3957.1,3965.0,3971.28,4038.67,4033.39,4036.32,4026.25,4050.94,4149.43,4349.01,4435.67,4716.47,4922.03,5052.38,5119.12,5188.89,5026.59,5272.74,5295.68,5406.54,5429.14,5429.92,5498.5,5671.82,5799.33,5725.79,5770.76,5688.43,5599.85,5801.69,5700.97,5732.94,5544.28,5539.24,5398.03,5539.68,5671.54,5695.29,5677.26,5628.85,5655.72,5732.08,5769.67,5734.12,5553.15,5587.62,5523.74,5572.96,5726.97,5791.53,5782.89,5918.15,5950.65,6090.31,6073.83,5947.64,5959.08,6153.61,6253.01,6171.31,6157.46,6157.92,6273.68,6399.13
